width 16
height 16
(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	3	
(0.0, 0.0, 1.0)	(0.0, 0.0, 0.0)	0	
(0.0, 0.0, 2.0)	(0.0, 0.0, 0.0)	0	
(0.0, 0.0, 3.0)	(0.0, 90.0, 0.0)	2	
(0.0, 0.0, 4.0)	(0.0, 90.0, 0.0)	1	
(0.0, 0.0, 5.0)	(0.0, 90.0, 0.0)	1	
(0.0, 0.0, 6.0)	(0.0, 180.0, 0.0)	2	
(0.0, 0.0, 7.0)	(0.0, 0.0, 0.0)	0	
(0.0, 0.0, 8.0)	(0.0, 0.0, 0.0)	0	
(0.0, 0.0, 9.0)	(0.0, 0.0, 0.0)	0	
(0.0, 0.0, 10.0)	(0.0, 0.0, 0.0)	0	
(0.0, 0.0, 11.0)	(0.0, 0.0, 0.0)	0	
(0.0, 0.0, 12.0)	(0.0, 0.0, 0.0)	0	
(0.0, 0.0, 13.0)	(0.0, 0.0, 0.0)	0	
(0.0, 0.0, 14.0)	(0.0, 0.0, 0.0)	0	
(0.0, 0.0, 15.0)	(0.0, 0.0, 0.0)	0	
(1.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	1	
(1.0, 0.0, 1.0)	(0.0, 0.0, 0.0)	0	
(1.0, 0.0, 2.0)	(0.0, 0.0, 0.0)	0	
(1.0, 0.0, 3.0)	(0.0, 0.0, 0.0)	1	
(1.0, 0.0, 4.0)	(0.0, 0.0, 0.0)	0	
(1.0, 0.0, 5.0)	(0.0, 0.0, 0.0)	0	
(1.0, 0.0, 6.0)	(0.0, 0.0, 0.0)	1	
(1.0, 0.0, 7.0)	(0.0, 0.0, 0.0)	0	
(1.0, 0.0, 8.0)	(0.0, 0.0, 0.0)	0	
(1.0, 0.0, 9.0)	(0.0, 0.0, 0.0)	0	
(1.0, 0.0, 10.0)	(0.0, 0.0, 0.0)	0	
(1.0, 0.0, 11.0)	(0.0, 0.0, 0.0)	0	
(1.0, 0.0, 12.0)	(0.0, 0.0, 0.0)	0	
(1.0, 0.0, 13.0)	(0.0, 0.0, 0.0)	0	
(1.0, 0.0, 14.0)	(0.0, 0.0, 0.0)	0	
(1.0, 0.0, 15.0)	(0.0, 0.0, 0.0)	0	
(2.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	2	
(2.0, 0.0, 1.0)	(0.0, 90.0, 0.0)	1	
(2.0, 0.0, 2.0)	(0.0, 90.0, 0.0)	1	
(2.0, 0.0, 3.0)	(0.0, 270.0, 0.0)	2	
(2.0, 0.0, 4.0)	(0.0, 0.0, 0.0)	0	
(2.0, 0.0, 5.0)	(0.0, 0.0, 0.0)	0	
(2.0, 0.0, 6.0)	(0.0, 0.0, 0.0)	1	
(2.0, 0.0, 7.0)	(0.0, 0.0, 0.0)	0	
(2.0, 0.0, 8.0)	(0.0, 0.0, 0.0)	0	
(2.0, 0.0, 9.0)	(0.0, 0.0, 0.0)	0	
(2.0, 0.0, 10.0)	(0.0, 0.0, 0.0)	0	
(2.0, 0.0, 11.0)	(0.0, 0.0, 0.0)	0	
(2.0, 0.0, 12.0)	(0.0, 0.0, 0.0)	0	
(2.0, 0.0, 13.0)	(0.0, 0.0, 0.0)	0	
(2.0, 0.0, 14.0)	(0.0, 0.0, 0.0)	0	
(2.0, 0.0, 15.0)	(0.0, 0.0, 0.0)	0	
(3.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	0	
(3.0, 0.0, 1.0)	(0.0, 0.0, 0.0)	0	
(3.0, 0.0, 2.0)	(0.0, 0.0, 0.0)	0	
(3.0, 0.0, 3.0)	(0.0, 0.0, 0.0)	0	
(3.0, 0.0, 4.0)	(0.0, 0.0, 0.0)	0	
(3.0, 0.0, 5.0)	(0.0, 0.0, 0.0)	0	
(3.0, 0.0, 6.0)	(0.0, 0.0, 0.0)	1	
(3.0, 0.0, 7.0)	(0.0, 0.0, 0.0)	0	
(3.0, 0.0, 8.0)	(0.0, 0.0, 0.0)	0	
(3.0, 0.0, 9.0)	(0.0, 0.0, 0.0)	0	
(3.0, 0.0, 10.0)	(0.0, 0.0, 0.0)	0	
(3.0, 0.0, 11.0)	(0.0, 0.0, 0.0)	0	
(3.0, 0.0, 12.0)	(0.0, 0.0, 0.0)	0	
(3.0, 0.0, 13.0)	(0.0, 0.0, 0.0)	0	
(3.0, 0.0, 14.0)	(0.0, 0.0, 0.0)	0	
(3.0, 0.0, 15.0)	(0.0, 0.0, 0.0)	0	
(4.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	0	
(4.0, 0.0, 1.0)	(0.0, 0.0, 0.0)	0	
(4.0, 0.0, 2.0)	(0.0, 0.0, 0.0)	0	
(4.0, 0.0, 3.0)	(0.0, 0.0, 0.0)	0	
(4.0, 0.0, 4.0)	(0.0, 0.0, 0.0)	0	
(4.0, 0.0, 5.0)	(0.0, 0.0, 0.0)	0	
(4.0, 0.0, 6.0)	(0.0, 0.0, 0.0)	1	
(4.0, 0.0, 7.0)	(0.0, 0.0, 0.0)	0	
(4.0, 0.0, 8.0)	(0.0, 0.0, 0.0)	0	
(4.0, 0.0, 9.0)	(0.0, 0.0, 0.0)	0	
(4.0, 0.0, 10.0)	(0.0, 0.0, 0.0)	0	
(4.0, 0.0, 11.0)	(0.0, 0.0, 0.0)	0	
(4.0, 0.0, 12.0)	(0.0, 0.0, 0.0)	0	
(4.0, 0.0, 13.0)	(0.0, 0.0, 0.0)	0	
(4.0, 0.0, 14.0)	(0.0, 0.0, 0.0)	0	
(4.0, 0.0, 15.0)	(0.0, 0.0, 0.0)	0	
(5.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	0	
(5.0, 0.0, 1.0)	(0.0, 0.0, 0.0)	0	
(5.0, 0.0, 2.0)	(0.0, 0.0, 0.0)	0	
(5.0, 0.0, 3.0)	(0.0, 0.0, 0.0)	0	
(5.0, 0.0, 4.0)	(0.0, 0.0, 0.0)	0	
(5.0, 0.0, 5.0)	(0.0, 0.0, 0.0)	0	
(5.0, 0.0, 6.0)	(0.0, 0.0, 0.0)	1	
(5.0, 0.0, 7.0)	(0.0, 0.0, 0.0)	0	
(5.0, 0.0, 8.0)	(0.0, 0.0, 0.0)	0	
(5.0, 0.0, 9.0)	(0.0, 0.0, 0.0)	0	
(5.0, 0.0, 10.0)	(0.0, 90.0, 0.0)	2	
(5.0, 0.0, 11.0)	(0.0, 270.0, 0.0)	1	
(5.0, 0.0, 12.0)	(0.0, 270.0, 0.0)	1	
(5.0, 0.0, 13.0)	(0.0, 180.0, 0.0)	2	
(5.0, 0.0, 14.0)	(0.0, 0.0, 0.0)	0	
(5.0, 0.0, 15.0)	(0.0, 0.0, 0.0)	0	
(6.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	0	
(6.0, 0.0, 1.0)	(0.0, 0.0, 0.0)	0	
(6.0, 0.0, 2.0)	(0.0, 0.0, 0.0)	0	
(6.0, 0.0, 3.0)	(0.0, 0.0, 0.0)	0	
(6.0, 0.0, 4.0)	(0.0, 0.0, 0.0)	0	
(6.0, 0.0, 5.0)	(0.0, 0.0, 0.0)	0	
(6.0, 0.0, 6.0)	(0.0, 0.0, 0.0)	1	
(6.0, 0.0, 7.0)	(0.0, 0.0, 0.0)	0	
(6.0, 0.0, 8.0)	(0.0, 0.0, 0.0)	0	
(6.0, 0.0, 9.0)	(0.0, 0.0, 0.0)	0	
(6.0, 0.0, 10.0)	(0.0, 0.0, 0.0)	1	
(6.0, 0.0, 11.0)	(0.0, 0.0, 0.0)	0	
(6.0, 0.0, 12.0)	(0.0, 0.0, 0.0)	0	
(6.0, 0.0, 13.0)	(0.0, 0.0, 0.0)	1	
(6.0, 0.0, 14.0)	(0.0, 0.0, 0.0)	0	
(6.0, 0.0, 15.0)	(0.0, 0.0, 0.0)	0	
(7.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	0	
(7.0, 0.0, 1.0)	(0.0, 0.0, 0.0)	0	
(7.0, 0.0, 2.0)	(0.0, 0.0, 0.0)	0	
(7.0, 0.0, 3.0)	(0.0, 0.0, 0.0)	0	
(7.0, 0.0, 4.0)	(0.0, 0.0, 0.0)	0	
(7.0, 0.0, 5.0)	(0.0, 0.0, 0.0)	0	
(7.0, 0.0, 6.0)	(0.0, 0.0, 0.0)	1	
